scheme_code,scheme_name,fund_house,category,latest_nav_date,latest_nav,latest_date,return_1y,return_3y,return_5y,volatility,score_1y,score_3y,score_5y,score
145678,BANK OF INDIA Small Cap Fund Direct Plan Growth,Bank of India Mutual Fund,small_cap,2026-08-28,66.14,2026-08-28,31.700517722023093,23.726668320495172,21.74412561040939,18.043877029131927,96.7741935483871,87.5,100.0,94.03225806451613
147919,ITI Small Cap Fund - Direct Plan - Growth Option,ITI Mutual Fund,small_cap,2026-08-28,38.943,2026-08-28,26.421072451159233,27.065714405706622,20.796033645539858,20.063979374395288,87.09677419354838,100.0,80.95238095238095,90.41474654377879
145137,Invesco India Smallcap Fund - Direct Plan - Growth,Invesco Mutual Fund,small_cap,2026-08-28,54.88,2026-08-28,21.22818643693396,24.879467441627302,21.590266219393484,18.157101587490025,67.74193548387096,91.66666666666666,95.23809523809523,85.56067588325652
147946,BANDHAN SMALL CAP FUND - DIRECT PLAN GROWTH,Bandhan Mutual Fund,small_cap,2026-08-28,57.559,2026-08-28,16.49732836787563,26.495911080716695,20.838691609553983,17.244123365707654,48.38709677419355,95.83333333333334,85.71428571428571,78.56374807987712
129649,Union Small Cap Fund - Direct Plan - Growth Option,Union Mutual Fund,small_cap,2026-08-28,67.95,2026-08-28,27.821670428893917,19.190077028499218,19.129478989795,17.03945746654947,90.32258064516128,70.83333333333334,61.904761904761905,74.0015360983103
120828,quant Small Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,small_cap,2026-08-28,321.7711,2026-08-28,19.12034790115751,19.166732552772302,21.147129602290505,20.21654620481535,58.06451612903226,66.66666666666666,90.47619047619048,71.22887864823349
119212,DSP Small Cap Fund - Direct Plan - Growth,DSP Mutual Fund,small_cap,2026-08-28,258.521,2026-08-28,20.765267273636077,19.25094532732936,19.744711613408384,16.526290778086263,64.51612903225806,75.0,71.42857142857143,70.78341013824885
119589,Sundaram Small Cap Fund Direct Plan - Growth,Sundaram Mutual Fund,small_cap,2026-08-28,335.4719,2026-08-28,20.717289891140233,18.853555792997945,18.570353447126298,17.922990047657724,61.29032258064516,62.5,57.14285714285714,60.52995391705069
150915,Mahindra Manulife Small Cap Fund - Direct Plan - Growth,Mahindra Manulife Mutual Fund,small_cap,2026-08-28,24.2735,2026-08-28,23.762931539955833,22.528358124213234,,16.998213678611897,80.64516129032258,83.33333333333334,,57.52688172043011
146196,Edelweiss Small Cap Fund - Direct Plan - Growth,Edelweiss Mutual Fund,small_cap,2026-08-28,54.694,2026-08-28,15.11860411273178,17.554914313951574,19.297635920483724,17.41548569810672,41.935483870967744,54.166666666666664,66.66666666666666,54.24731182795699
152004,LIC MF Small Cap Fund-Direct Plan-Growth,LIC Mutual Fund,small_cap,2026-08-28,40.3126,2026-08-28,22.49197821965092,20.308581050924836,,19.067970351918486,70.96774193548387,79.16666666666666,,52.956989247311824
119556,Aditya Birla Sun Life Small Cap Fund - Growth - Direct Plan,Aditya Birla Sun Life Mutual Fund,small_cap,2026-08-28,116.7852,2026-08-28,24.38831112947821,17.42606766726771,15.826892801583515,17.140514885503304,83.87096774193549,50.0,14.285714285714285,49.447004608294925
118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund,small_cap,2026-08-28,210.6366,2026-08-28,13.886062357194051,17.12102949209435,20.72117565663174,17.303754542444413,32.25806451612903,41.66666666666667,76.19047619047619,49.20122887864824
125354,Axis Small Cap Fund - Direct Plan - Growth,Axis Mutual Fund,small_cap,2026-08-28,138.06,2026-08-28,15.002082465639322,17.33242726034776,17.819879201950805,14.718758569146088,38.70967741935484,45.83333333333333,47.61904761904761,44.23195084485407
149019,PGIM India Small Cap Fund - Direct Plan- Growth Option,PGIM India Mutual Fund,small_cap,2026-08-28,20.32,2026-08-28,18.414918414918425,18.215075534484114,15.397098977946877,15.873835919055548,54.83870967741935,58.333333333333336,9.523809523809524,42.64208909370199
118525,Franklin India Small Cap Fund - Direct - Growth,Franklin Templeton Mutual Fund,small_cap,2026-08-28,206.3352,2026-08-28,9.88486158893136,14.9591561468561,18.275576051740284,15.7781355567985,16.129032258064516,29.166666666666668,52.38095238095239,32.21966205837174
146130,CANARA ROBECO SMALL CAP FUND - DIRECT PLAN - GROWTH OPTION,Canara Robeco Mutual Fund,small_cap,2026-08-28,46.6,2026-08-28,11.965401249399331,14.652134323816778,17.349663303254516,17.58318586628384,25.806451612903224,25.0,42.857142857142854,30.599078341013822
148618,UTI Small Cap Fund - Direct Plan - Growth Option,UTI Mutual Fund,small_cap,2026-08-28,30.4592,2026-08-28,11.056743975760842,16.215433301679894,17.133994033681898,15.632336813158021,19.35483870967742,33.33333333333333,38.095238095238095,30.56835637480799
151130,HSBC Small Cap Fund - Direct Growth,HSBC Mutual Fund,small_cap,2026-08-28,103.2529,2026-08-28,18.0679480538489,16.395050241943032,,17.155360171719717,51.61290322580645,37.5,,30.483870967741936
125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,small_cap,2026-08-28,216.2904,2026-08-28,11.209408435322676,13.454091352847918,16.03720277864442,15.132788866729449,22.58064516129032,16.666666666666664,19.047619047619047,19.155145929339476
120591,ICICI Prudential Small Cap Fund - Direct Plan - Growth,ICICI Prudential Mutual Fund,small_cap,2026-08-28,104.58,2026-08-28,7.360640591315071,13.23964698513369,16.18817288418477,14.929311045544786,9.67741935483871,12.5,23.809523809523807,15.046082949308754
120164,Kotak-Small Cap Fund - Growth - Direct,Kotak Mahindra Mutual Fund,small_cap,2026-08-28,328.915,2026-08-28,9.420586366464079,13.62426016424032,14.453020176982267,15.378668936135723,12.903225806451612,20.833333333333336,4.761904761904762,13.632872503840247
130503,HDFC Small Cap Fund - Growth Option - Direct Plan,HDFC Mutual Fund,small_cap,2026-08-28,161.226,2026-08-28,1.6019258400342906,12.084216900118161,16.603122368812585,16.44732041389157,6.451612903225806,4.166666666666666,33.33333333333333,13.602150537634406
145206,Tata Small Cap Fund-Direct Plan-Growth,Tata Mutual Fund,small_cap,2026-08-28,44.6932,2026-08-28,0.7583955560364952,12.805652068907424,16.239830255321365,16.774789447684224,3.225806451612903,8.333333333333332,28.57142857142857,12.872503840245775
153612,BAJAJ FINSERV SMALL CAP FUND - DIRECT - GROWTH,Bajaj Finserv Mutual Fund,small_cap,2026-08-28,11.496,2026-08-28,22.886157135221797,,,16.05393875586712,74.19354838709677,,,
152128,Baroda BNP Paribas Small Cap Fund - Direct Plan - Growth option,Baroda BNP Paribas Mutual Fund,small_cap,2026-08-28,14.8651,2026-08-28,14.058267921951373,,,17.067805207569982,35.483870967741936,,,
152614,JM Small Cap Fund (Direct) - Growth Option,JM Financial Mutual Fund,small_cap,2026-08-28,12.1301,2026-08-28,23.13447229243435,,,20.69557020880028,77.41935483870968,,,
153196,Mirae Asset Small Cap Fund - Direct Plan - Growth,Mirae Asset Mutual Fund,small_cap,2026-08-28,13.029,2026-08-28,15.967957276368505,,,15.59236934841175,45.16129032258064,,,
152237,Motilal Oswal Small Cap Fund - Direct - Growth,Motilal Oswal Mutual Fund,small_cap,2026-08-28,17.7822,2026-08-28,28.44234172415039,,,17.471861919933332,93.54838709677419,,,
152107,QUANTUM SMALL CAP FUND - DIRECT PLAN GROWTH OPTION,Quantum Mutual Fund,small_cap,2026-08-28,14.28,2026-08-28,12.44094488188976,,,14.409081754417565,29.03225806451613,,,
152939,TRUSTMF SMALL CAP FUND -DIRECT PLAN-GROWTH,Trust Mutual Fund,small_cap,2026-08-28,14.02,2026-08-28,36.38132295719845,,,18.50845432962002,100.0,,,
